easy8 | File:M4A3E8.JPG | Public domain | Yellowute at English Wikipedia | https://commons.wikimedia.org/wiki/File:M4A3E8.JPG
hellcat | File:M18 tank destroyer fires its 90mm gun point-blank at a Nazi pillbox emplacement to clear a path through a side street in Brest, France. September, 1944. (49811749312).jpg | Public domain | Signal Corps Archive from Ireland and United States | https://commons.wikimedia.org/wiki/File:M18_tank_destroyer_fires_its_90mm_gun_point-blank_at_a_Nazi_pillbox_emplacement_to_clear_a_path_through_a_side_street_in_Brest,_France._September,_1944._(49811749312).jpg
chaffee | File:Side view of the new M-24 tank showing the 'Christie' tracks which are similar to those used on the German tanks (49350527486).jpg | Public domain | Signal Corps Archive from Ireland and United States | https://commons.wikimedia.org/wiki/File:Side_view_of_the_new_M-24_tank_showing_the_%27Christie%27_tracks_which_are_similar_to_those_used_on_the_German_tanks_(49350527486).jpg
pershing | File:M26 Pershing at Remagen.png | Public domain | U.S. Signal Corp | https://commons.wikimedia.org/wiki/File:M26_Pershing_at_Remagen.png
m10 | File:SC 199025 - An M10 tank destroyer, attached to the 90th Infantry Division, rolls past snow-covered ruins in Berle, Luxembourg. (52518848392).jpg | Public domain | Signal Corps Archive from United States | https://commons.wikimedia.org/wiki/File:SC_199025_-_An_M10_tank_destroyer,_attached_to_the_90th_Infantry_Division,_rolls_past_snow-covered_ruins_in_Berle,_Luxembourg._(52518848392).jpg
firefly | File:Sherman Firefly in Field.jpg | Public domain | Conseil Régional de Basse-Normandie / Archives Nationales du | https://commons.wikimedia.org/wiki/File:Sherman_Firefly_in_Field.jpg
t34_85 | File:Танк Т-34-85 гвардейского танкового корпуса у Мазурской башни на улице города Бродница.jpg | Public domain | Emmanuil Evzerikhin | https://commons.wikimedia.org/wiki/File:%D0%A2%D0%B0%D0%BD%D0%BA_%D0%A2-34-85_%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81%D0%B0_%D1%83_%D0%9C%D0%B0%D0%B7%D1%83%D1%80%D1%81%D0%BA%D0%BE%D0%B9_%D0%B1%D0%B0%D1%88%D0%BD%D0%B8_%D0%BD%D0%B0_%D1%83%D0%BB%D0%B8%D1%86%D0%B5_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_%D0%91%D1%80%D0%BE%D0%B4%D0%BD%D0%B8%D1%86%D0%B0.jpg
kv1 | File:Soviet tank KV-1 model 1939.jpg | Public domain |  | https://commons.wikimedia.org/wiki/File:Soviet_tank_KV-1_model_1939.jpg
su100 | File:СУ-101 и СУ-100 танкодром Уралмашзавода апрель 1945.jpg | CC0 | Техотдел УЗТМ | https://commons.wikimedia.org/wiki/File:%D0%A1%D0%A3-101_%D0%B8_%D0%A1%D0%A3-100_%D1%82%D0%B0%D0%BD%D0%BA%D0%BE%D0%B4%D1%80%D0%BE%D0%BC_%D0%A3%D1%80%D0%B0%D0%BB%D0%BC%D0%B0%D1%88%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D0%B0_%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C_1945.jpg
is2 | File:САУ ИСУ-122 и танк ИС-2 на одной из дорог Трансильвании.jpg | Public domain | Israel Ozersky | https://commons.wikimedia.org/wiki/File:%D0%A1%D0%90%D0%A3_%D0%98%D0%A1%D0%A3-122_%D0%B8_%D1%82%D0%B0%D0%BD%D0%BA_%D0%98%D0%A1-2_%D0%BD%D0%B0_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9_%D0%B8%D0%B7_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3_%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%B8%D0%BB%D1%8C%D0%B2%D0%B0%D0%BD%D0%B8%D0%B8.jpg
sherman | File:SC 191908-S - A General Sherman tank equipped with the new type pusher blade in front, makes its way up to the front lines. Near Tribehou, France. 25 July, 1944.jpg | Public domain | Signal Corps Archive | https://commons.wikimedia.org/wiki/File:SC_191908-S_-_A_General_Sherman_tank_equipped_with_the_new_type_pusher_blade_in_front,_makes_its_way_up_to_the_front_lines._Near_Tribehou,_France._25_July,_1944.jpg
